type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
TV Show;Demon Slayer: Kimetsu no Yaiba;null;"""Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji, Ai Kakuma, Nobuhiko Okamoto, Toshiyuki Morikawa, Aoi Yuki, Shiori Izawa, Daisuke Namikawa, Takumi Yamazaki, Hikaru Midorikawa, Takehito Koyasu""";Japan;"""January 22, 2021""";2019;TV-14;1 Season;"""Anime Series, International TV Shows""";"""After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."""
TV Show;Spycraft;null;null;United States;"""January 20, 2021""";2021;TV-MA;1 Season;"""Docuseries, Science & Nature TV""";"""The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves."""
TV Show;Carmen Sandiego;null;"""Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung""";United States;"""January 15, 2021""";2021;TV-Y7;4 Seasons;"""Kids' TV, TV Thrillers""";"""A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks."""
TV Show;Disenchantment;null;"""Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West""";United States;"""January 15, 2021""";2021;TV-14;3 Seasons;"""TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy""";"""Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals."""
TV Show;Henry Danger;null;"""Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen""";United States;"""January 15, 2021""";2016;TV-G;3 Seasons;"""Kids' TV, TV Comedies""";"""A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger."""
TV Show;The Magicians;null;"""Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn""";"""United States, Canada""";"""January 15, 2021""";2020;TV-MA;5 Seasons;"""TV Dramas, TV Sci-Fi & Fantasy""";"""When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real."""
Movie;Team America: World Police;Trey Parker;"""Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Phil Hendrie, Maurice LaMarche, Chelsea Magritte, Jeremy Shada, Fred Tatasciore""";"""United States, Germany""";"""August 1, 2021""";2004;R;98 min;"""Action & Adventure, Comedies, Cult Movies""";"""In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."""
Movie;The 8th Night;Kim Tae-hyung;"""Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal""";South Korea;"""July 2, 2021""";2021;TV-14;116 min;"""Horror Movies, International Movies, Thrillers""";"""With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth."""
TV Show;Night Stalker: The Hunt for a Serial Killer;Tiller Russell;null;United States;"""January 13, 2021""";2021;TV-MA;1 Season;"""Crime TV Shows, Docuseries""";"""Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him."""
Movie;The American;Anton Corbijn;"""George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen, Irina Björklund, Filippo Timi, Anna Foglietta, Björn Granath""";"""United States, United Kingdom""";"""July 1, 2021""";2010;R;105 min;"""Dramas, Thrillers""";"""Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him."""
TV Show;Last Tango in Halifax;Juliet May;"""Derek Jacobi, Anne Reid, Sarah Lancashire, Nicola Walker, Edward Ashley, Louis Greatorex, Josh Bolt""";United Kingdom;"""January 12, 2021""";2020;TV-MA;4 Seasons;"""British TV Shows, Romantic TV Shows, TV Dramas""";Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.
Movie;The Block Island Sound;"""Kevin McManus, Matthew McManus""";"""Chris Sheffield, Michaela McManus, Neville Archambault, Ryan O'Flanagan, Matilda Lawler, Jim Cummings, Jeremy Holm, Heidi Niedermeyer, Willie C. Carpenter, Matthew Lawler""";United States;"""March 11, 2021""";2020;TV-MA;99 min;"""Horror Movies, Independent Movies""";"""On an island, a fisherman's family faces horrors and dark truths when an ominous force begins killing the wildlife and puts their own lives in danger."""
TV Show;Inside the World’s Toughest Prisons;null;Paul Connolly;United Kingdom;"""January 8, 2021""";2021;TV-MA;5 Seasons;"""British TV Shows, Crime TV Shows, Docuseries""";"""Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule."""
TV Show;The Idhun Chronicles;Maite Ruiz De Austri;"""Michelle Jenner, Itzan Escamilla, Sergio Mur, Nico Romero, Carlos Cuevas""";Spain;"""January 8, 2021""";2021;TV-14;2 Seasons;"""Anime Series, International TV Shows, Spanish-Language TV Shows""";"""A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder."""
Movie;The Call;Lee Chung-hyun;"""Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young""";South Korea;"""November 27, 2020""";2020;TV-MA;112 min;"""International Movies, Thrillers""";"""Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."""
TV Show;Surviving Death;null;null;United States;"""January 6, 2021""";2021;TV-MA;1 Season;"""Docuseries, Reality TV""";"""What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena."""
TV Show;History of Swear Words;null;Nicolas Cage;United States;"""January 5, 2021""";2021;TV-MA;1 Season;"""Docuseries, TV Comedies""";"""Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words."""
TV Show;Nailed It! Mexico;null;"""Omar Chaparro, Anna Ruiz""";"""Mexico, United States""";"""January 5, 2021""";2021;TV-PG;3 Seasons;"""International TV Shows, Reality TV, Spanish-Language TV Shows""";"""The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize."""
Movie;The Conjuring;James Wan;"""Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston, Shanley Caswell, Hayley McFarland, Joey King, Mackenzie Foy, Kyla Deaver, Shannon Kook""";United States;"""February 21, 2021""";2013;R;112 min;"""Horror Movies, Thrillers""";"""When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists."""
TV Show;Cobra Kai;null;"""Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand""";United States;"""January 1, 2021""";2021;TV-14;3 Seasons;"""TV Action & Adventure, TV Comedies, TV Dramas""";"""Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the \""Karate Kid\"" films."""
Movie;The Darkest Hour;Chris Gorak;"""Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman, Veronika Vernadskaya, Dato Bakhtadze, Yuriy Kutsenko""";"""United States, Russia""";"""May 1, 2021""";2011;PG-13;89 min;"""Action & Adventure, Sci-Fi & Fantasy""";Young Americans visit Moscow when the city is turned upside down by an alien invasion and band together with the locals to fight back.
Movie;The Day of the Lord;Santiago Alvarado Ilarri;"""Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia""";"""Mexico, Spain""";"""October 30, 2020""";2020;TV-MA;93 min;"""Horror Movies, International Movies""";"""In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter."""
TV Show;Headspace Guide to Meditation;null;Andy Puddicombe;United States;"""January 1, 2021""";2021;TV-G;1 Season;"""Docuseries, Science & Nature TV""";"""Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice."""
Movie;The Edge of Seventeen;Kelly Fremon Craig;"""Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto, Alexander Calvert, Eric Keenleyside""";"""United States, China""";"""August 1, 2021""";2016;R;105 min;"""Comedies, Dramas""";A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.
TV Show;The Haunted Hathaways;null;"""Amber Frank, Curtis Harris, Benjamin Flores Jr., Breanna Yde, Ginifer King, Chico Benymon""";United States;"""January 1, 2021""";2013;TV-G;2 Seasons;"""Kids' TV, TV Comedies, TV Sci-Fi & Fantasy""";Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.
TV Show;Chilling Adventures of Sabrina;null;"""Kiernan Shipka, Ross Lynch, Miranda Otto, Lucy Davis, Chance Perdomo, Michelle Gomez, Richard Coyle, Jaz Sinclair, Lachlan Watson, Tati Gabrielle, Adeline Rudolph, Abigail Cowen, Gavin Leatherwood, Bronson Pinchot""";United States;"""December 31, 2020""";2020;TV-14;4 Seasons;"""TV Horror, TV Mysteries, TV Sci-Fi & Fantasy""";"""Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."""
TV Show;Dare Me;null;"""Willa Fitzgerald, Herizen Guardiola, Marlo Kelly, Rob Heaps, Zach Roerig, Paul Fitzgerald, Alison Thornton, Tammy Blanchard, Amanda Brugel, Chris Zylka""";United States;"""December 30, 2020""";2019;TV-MA;1 Season;"""Crime TV Shows, TV Dramas, TV Thrillers""";"""Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy."""
TV Show;Bridgerton;null;"""Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker""";United States;"""December 25, 2020""";2020;TV-MA;1 Season;"""Romantic TV Shows, TV Dramas""";The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.
Movie;The Interview;"""Evan Goldberg, Seth Rogen""";"""James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi""";United States;"""September 1, 2021""";2014;R;112 min;"""Action & Adventure, Comedies""";Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
Movie;The Karate Kid;John G. Avildsen;"""Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison""";United States;"""July 1, 2021""";1984;PG;127 min;"""Action & Adventure, Children & Family Movies, Classic Movies""";"""When a bullied teen befriends an unassuming martial arts master, he’ll learn life lessons — and the right moves — to beat back his merciless rivals."""
TV Show;Shaun the Sheep;null;"""John Sparkes, Justin Fletcher, Kate Harbour, Richard Webber, Jo Allen""";"""United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland""";"""December 22, 2020""";2016;TV-Y;2 Seasons;"""British TV Shows, Kids' TV, TV Comedies""";"""Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley."""
TV Show;Timmy Time;null;"""Kate Harbour, Justin Fletcher, Louis Jones""";United Kingdom;"""December 22, 2020""";2010;TV-Y;1 Season;"""British TV Shows, Kids' TV""";"""This delightful animated series centers on impish lamb Timmy as he enters nursery school, where he learns about sharing, responsibility and fairness."""
Movie;The Last Letter From Your Lover;Augustine Frizzell;"""Shailene Woodley, Felicity Jones, Callum Turner, Joe Alwyn, Nabhaan Rizwan, Ncuti Gatwa, Emma Appleton, Christian Brassington, Alice Orr-Ewing, Lee Knight, Zoe Boyle, Ben Cross, Diana Kent""";United Kingdom;"""July 23, 2021""";2021;TV-MA;111 min;"""Dramas, Romantic Movies""";"""After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair — while embarking on a romance of her own."""
Movie;The Lincoln Lawyer;Brad Furman;"""Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Peña, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher""";United States;"""August 1, 2021""";2011;R;118 min;"""Dramas, Thrillers""";A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.
Movie;The Master;Paul Thomas Anderson;"""Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson""";United States;"""April 15, 2021""";2012;R;137 min;"""Dramas, Independent Movies""";"""A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new \""religion.\"""""
TV Show;Morphle;null;null;Netherlands;"""December 17, 2020""";2020;TV-Y;2 Seasons;"""British TV Shows, Kids' TV""";"""Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dreams up!"""
TV Show;Schulz Saves America;Alexx Media;Andrew Schulz;United States;"""December 17, 2020""";2020;TV-MA;1 Season;"""Stand-Up Comedy & Talk Shows, TV Comedies""";Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.
TV Show;Marvel Anime: Wolverine;null;"""Rikiya Koyama, Romi Park, Fumiko Orikasa, Hidekatsu Shibata, Kazuki Yao, Masato Hagiwara""";"""United States, Japan""";"""December 16, 2020""";2011;TV-14;1 Season;"""Anime Series, International TV Shows""";"""Logan, aka mutant X-Man Wolverine, is on a quest to reclaim the love of his life – whose crime lord father is planning an arranged marriage for her."""
TV Show;Marvel Anime: X-Men;null;"""Toshiyuki Morikawa, Rikiya Koyama, Katsunosuke Hori, Aya Hisakawa, Kaori Yamagata, Yoshiko Sakakibara, Yurika Hino, Yukari Tamura, Hideyuki Tanaka""";Japan;"""December 16, 2020""";2011;TV-14;1 Season;"""Anime Series, International TV Shows""";"""A year after their dissolution, the X-Men are re-assembled by Professor Charles Xavier to investigate the kidnapping of young mutants in Japan."""
TV Show;The Ripper;"""Ellena Wood, Jesse Vile""";null;United Kingdom;"""December 16, 2020""";2020;TV-MA;1 Season;"""British TV Shows, Crime TV Shows, Docuseries""";"""In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper."""
TV Show;Pup Academy;null;"""Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell""";United States;"""December 15, 2020""";2020;TV-Y;2 Seasons;"""Kids' TV, TV Comedies""";"""Furry friends take a re-bark-able journey in this series about an extraordinary school for the cutest, cuddliest and most curious puppies."""
Movie;The Next Three Days;Paul Haggis;"""Russell Crowe, Elizabeth Banks, Brian Dennehy, Lennie James, Olivia Wilde, Ty Simpkins, Helen Carey, Liam Neeson, Daniel Stern, Kevin Corrigan""";"""United States, France""";"""January 22, 2021""";2010;PG-13;133 min;"""Dramas, Thrillers""";"""When his wife becomes a murder suspect and is sent to prison, a professor plots a meticulous plan to take back her freedom and reunite his family."""
TV Show;Tiny Pretty Things;null;"""Lauren Holly, Kylie Jefferson, Casimere Jollette, Brennan Clost, Barton Cowperthwaite, Bayardo De Murguia, Damon J. Gillespie, Anna Maiche, Daniela Norman, Michael Hsu Rosen, Tory Trowbridge""";United States;"""December 14, 2020""";2020;TV-MA;1 Season;"""TV Dramas, TV Mysteries, TV Thrillers""";"""When an attack brings down the star student at an elite ballet school, her replacement enters a world of lies, betrayal — and cutthroat competition."""
Movie;The Paper Tigers;Quoc Bao Tran;"""Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma""";United States;"""August 7, 2021""";2021;PG-13;111 min;"""Action & Adventure, Comedies""";"""After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."""
Movie;The Pianist;Roman Polański;"""Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Ronan Vibert, Ruth Platt""";"""United Kingdom, France, Poland, Germany, United States""";"""April 1, 2021""";2002;R;149 min;"""Dramas, Independent Movies, International Movies""";Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.
TV Show;The Big Show Show;null;"""Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld""";United States;"""December 9, 2020""";2020;TV-G;2 Seasons;"""Kids' TV, TV Comedies""";Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.
TV Show;The Expanding Universe of Ashley Garcia;null;"""Paulina Chávez, Jencarlos Canela""";United States;"""December 9, 2020""";2020;TV-PG;3 Seasons;"""Kids' TV, TV Comedies, Teen TV Shows""";15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.
TV Show;The Surgeon's Cut;null;null;United States;"""December 9, 2020""";2020;TV-14;1 Season;"""Docuseries, Science & Nature TV""";"""They’re philosophers, storytellers and pioneers in their fields. Four surgeons reflect on their lives and professions in this inspiring docuseries."""
Movie;The Queen;Stephen Frears;"""Helen Mirren, Michael Sheen, James Cromwell, Helen McCrory, Alex Jennings, Roger Allam, Sylvia Syms, Mark Bazeley""";"""United Kingdom, United States, France, Italy""";"""July 1, 2021""";2006;PG-13;103 min;"""Dramas, International Movies""";"""After Princess Diana's death, Queen Elizabeth II and Tony Blair face public demands that she be memorialized in a manner beyond standard protocol."""
Movie;The Resurrection of Gavin Stone;Dallas Jenkins;"""Brett Dalton, Anjelah Johnson-Reyes, D.B. Sweeney, Neil Flynn, Shawn Michaels, Patrick Gagnon, Tim Frank, Tara Rios, Liam Matthews, Mary Thornton""";United States;"""February 16, 2021""";2017;PG;92 min;"""Children & Family Movies, Comedies, Dramas""";"""After one too many run-ins with the law, a Hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch."""
Movie;The Rope Curse 2;Liao Shih-han;"""Lee Kang-sheng, Wilson Hsu, Vera Chen, Yen Cheng-kuo, Chen Bor-jeng, Liu Kuo-shao""";Taiwan;"""December 30, 2020""";2020;TV-MA;105 min;"""Horror Movies, International Movies""";"""After a purification ritual unravels, a conflicted Taoist priest attempts to help a lonely young psychic whose aunt is possessed by a powerful demon."""
Movie;The Stepfather;Nelson McCormick;"""Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard, Sherry Stringfield, Paige Turco, Jon Tenney, Nancy Linehan Charles, Marcuis Harris, Braeden Lemasters, Deirdre Lovejoy""";United States;"""April 1, 2021""";2009;PG-13;102 min;"""Horror Movies, Thrillers""";A series of mysterious events makes a teenager suspect that his mother's new boyfriend may be a dangerous serial killer known for preying on families.
Movie;The Strange House;Daniel Prochaska;"""León Orlandianyi, Benno Roßkopf, Julia Koschitz, Marii Weichsler, Lars Bitterlich, Michael Pink, Inge Maux, Elfriede Schüsseleder, Michael Somma, Finn Reiter, Markus Stubeier, Luca Streussnig""";Austria;"""May 14, 2021""";2020;TV-MA;100 min;"""Horror Movies, International Movies, Thrillers""";"""When a big-city family moves to a remote town, two young brothers and their new friends try to solve the menacing mystery that haunts their home."""
Movie;The Strangers;Bryan Bertino;"""Liv Tyler, Scott Speedman, Gemma Ward, Kip Weeks, Laura Margolis, Glenn Howerton, Alex Fisher, Peter Clayton-Luce""";United States;"""July 1, 2021""";2008;R;85 min;"""Horror Movies, Thrillers""";"""A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders."""
Movie;The Swarm;Just Philippot;"""Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard""";France;"""August 6, 2021""";2021;TV-14;102 min;"""Horror Movies, Independent Movies, International Movies""";"""A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."""
Movie;The Sweetest Thing;Roger Kumble;"""Cameron Diaz, Christina Applegate, Selma Blair, Thomas Jane, Jason Bateman, Parker Posey, Frank Grillo, Eddie McClintock, Lillian Adams, Johnny Messner""";United States;"""May 1, 2021""";2002;R;89 min;"""Comedies, Romantic Movies""";"""After meeting her potential soul mate, a commitment-averse young woman hits the road with her best friend on a wild, raunchy misadventure to find him."""
Movie;The Tourist;Florian Henckel von Donnersmarck;"""Angelina Jolie, Johnny Depp, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell, Christian De Sica, Alessio Boni, Daniele Pecci, Giovanni Guidelli""";"""United States, France, Italy, United Kingdom""";"""July 1, 2021""";2010;PG-13;103 min;"""Action & Adventure, Romantic Movies""";An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.
TV Show;Octonauts;null;"""Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth""";"""United States, Ireland, United Kingdom, India""";"""December 1, 2020""";2015;TV-Y;4 Seasons;"""British TV Shows, Kids' TV""";A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.
TV Show;Oddbods;null;"""Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi""";"""United Kingdom, Singapore""";"""December 1, 2020""";2017;TV-Y;1 Season;"""Kids' TV, TV Comedies""";"""Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief."""
TV Show;Stargate SG-1;null;"""Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones""";"""United States, Canada""";"""December 1, 2020""";2006;TV-MA;10 Seasons;"""Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy""";Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy.
TV Show;The Bachelorette;null;null;United States;"""December 1, 2020""";2010;TV-14;1 Season;"""Reality TV, Romantic TV Shows""";Beloved “Bachelor” contestant Ali Fedotowsky embarks on her own search for happily ever after and navigates the thrills and spills of reality TV romance.
TV Show;The Repair Shop;null;null;United Kingdom;"""December 1, 2020""";2018;TV-PG;1 Season;"""British TV Shows, Reality TV""";Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories.
Movie;The Wedding Guest;Michael Winterbottom;"""Dev Patel, Radhika Apte, Jim Sarbh""";United Kingdom;"""June 2, 2021""";2018;R;97 min;"""Dramas, Romantic Movies, Thrillers""";"""Hired to extract a bride-to-be before her arranged wedding in Pakistan, a hired gun goes on the run with his hostage when his plan unravels."""
Movie;The Whole Nine Yards;Jonathan Lynn;"""Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christianssens""";United States;"""May 1, 2021""";2000;R;99 min;"""Action & Adventure, Comedies""";An unhappily married dentist becomes mixed up with mobsters and murder plots when he discovers that a notorious hit man has moved in next door.
Movie;The Whole Truth;Courtney Hunt;"""Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso, Jim Belushi, Jim Klock, Ritchie Montgomery, Christopher Berry""";United States;"""May 1, 2021""";2016;R;93 min;"""Dramas, Thrillers""";"""Trying to earn an acquittal for a teen client accused of murdering his wealthy father, a defense attorney uncovers disturbing facts about the victim."""
Movie;The World We Make;Brian Baugh;"""Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams""";United States;"""February 10, 2021""";2019;PG;108 min;"""Dramas, Romantic Movies""";"""A teenage equestrian and a local football player fall for each other, but simmering racism in their small town puts their relationship to the test."""
Movie;This Is the Life;Ava DuVernay;"""Abstract Rude, Chali 2na, Cut Chemist, Ellay Khule, Riddlore, Medusa, Myka Nyne, Pigeon John, 2Mex""";United States;"""February 11, 2021""";2008;TV-MA;98 min;"""Documentaries, Music & Musicals""";"""Examine how the group of alternative hip-hop artists known as the Good Lifers started a movement and created a robust, progressive musical community."""
Movie;This Little Love Of Mine;Christine Luby;"""Saskia Hampele, Liam McIntyre, Lynn Gilmartin, Craig Horner""";Australia;"""July 7, 2021""";2021;TV-G;92 min;"""International Movies, Romantic Movies""";A workaholic lawyer returns to her island home to convince an old friend to take over his family’s company — but rekindled feelings soon get in the way.
Movie;Time Is Illmatic;One9;"""Nasir 'Nas' Jones, Busta Rhymes, Pete Rock, Pharrell Williams, Q-Tip, Swizz Beatz, Alicia Keys, DJ Premier""";United States;"""April 15, 2021""";2014;TV-MA;75 min;"""Documentaries, Music & Musicals""";"""Providing a behind-the-scenes look at the making of Nas's debut album, this documentary also delves into his deep connection to his New York roots."""
Movie;Time Trap;"""Mark Dennis, Ben Foster""";"""Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari""";United States;"""April 16, 2021""";2017;TV-14;88 min;"""Action & Adventure, Sci-Fi & Fantasy""";"""While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface."""
TV Show;Voices of Fire;null;Pharrell Williams;United States;"""November 20, 2020""";2020;TV-PG;1 Season;"""Docuseries, Reality TV""";"""In this faith-based docuseries, Bishop Ezekiel Williams builds an inspiring, nontraditional gospel choir with the help of superstar nephew Pharrell."""
TV Show;The Boss Baby: Back in Business;null;"""JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan""";United States;"""November 17, 2020""";2020;TV-Y7;4 Seasons;"""Kids' TV, TV Comedies""";The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.
TV Show;We Are the Champions;null;null;United States;"""November 17, 2020""";2020;TV-MA;1 Season;"""Docuseries, Reality TV""";"""Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries."""
TV Show;Beyblade Burst Rise;null;"""Erika Harlacher, Griffin Puatu, Kimlinh Tran, Taylor Henry, Janice Roman Roku, Brian Anderson""";Japan;"""November 15, 2020""";2019;TV-Y;1 Season;"""Anime Series, Kids' TV""";"""After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace."""
TV Show;The Crown;null;"""Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser""";"""United Kingdom, United States""";"""November 15, 2020""";2020;TV-MA;4 Seasons;"""British TV Shows, International TV Shows, TV Dramas""";This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
